oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____cd2bda71-760b-4fcc-8a0b-3877c10000a8____2021-II,oekobaudatUuid____8201b671-10cd-4dc5-9750-0b856d998be4____2020-I,oekobaudatUuid____0454ab26-f45c-4e24-8260-9e2049738b75____2019-III,oekobaudatUuid____815d8970-02dc-4abc-b02e-78d41b4e4bb5____2019-II,oekobaudatUuid____30b63be3-b76b-4bd4-a876-330790c228a9____2019-I,oekobaudatUuid____cc02f499-6b0f-4556-bb4a-7abe48e55f71____2017,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,Unnamed: 8,processCategoryNumber,productUuid,eolCategoryUuid
Fassadenfarbe Silikonharzfarbe,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,b923c64c-2da3-4f0c-ada3-5d1eeb884880,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,815fb8f6-04cc-494d-ab6b-1b6eae98bfca,Fassadenfarbe Silikonharzfarbe,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0,,5.4,4459baf0-6b75-559b-a8e1-dc846e4bd9f8,829e10d4-7bee-5873-9da8-c4083e7de8b5
Fassadenfarbe Voranstrich Dispersion,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,f830ac7f-04a0-46e0-a5ed-1b66a09555f5,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,948f8f68-f1f2-42f6-8350-6e27d6e80c7c,Fassadenfarbe Voranstrich Dispersion,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0,,5.1,717f2eaf-9c06-57d7-9847-d97c7a5fe163,829e10d4-7bee-5873-9da8-c4083e7de8b5
Fassadenfarbe Voranstrich Silikat-Dispersion,0b488798-140f-4efa-96e2-55aa46ed129a,e6a19775-cdd4-40a5-a3bc-8d567c1cd4cc,0b488798-140f-4efa-96e2-55aa46ed129a,0b488798-140f-4efa-96e2-55aa46ed129a,0b488798-140f-4efa-96e2-55aa46ed129a,0b488798-140f-4efa-96e2-55aa46ed129a,0b488798-140f-4efa-96e2-55aa46ed129a,0b488798-140f-4efa-96e2-55aa46ed129a,Fassadenfarbe Voranstrich Silikat-Dispersion,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0,,5.1,7197e408-0017-5df0-9133-e793dae77765,829e10d4-7bee-5873-9da8-c4083e7de8b5
Fassadenklinker,d311ba82-a703-4865-b5e3-f704e5b88712,5dddc87c-6b72-4801-b822-4301138c99ce,d311ba82-a703-4865-b5e3-f704e5b88712,d311ba82-a703-4865-b5e3-f704e5b88712,d311ba82-a703-4865-b5e3-f704e5b88712,d311ba82-a703-4865-b5e3-f704e5b88712,d311ba82-a703-4865-b5e3-f704e5b88712,d311ba82-a703-4865-b5e3-f704e5b88712,Fassadenklinker,Keramik - Fassade,RC+,RC+,1,,1.3,af64d973-9cdb-5d4a-bf72-f90803cfa6ca,d72d1773-ff38-538e-8212-e5272d6ecf27
Fenster-Beschlag für Doppelflügelfenster,4bf26663-9018-47a1-943d-8ed4d3f87d0f,69c60c09-e729-4327-b0fd-2b778c6942c5,4bf26663-9018-47a1-943d-8ed4d3f87d0f,4bf26663-9018-47a1-943d-8ed4d3f87d0f,4bf26663-9018-47a1-943d-8ed4d3f87d0f,4bf26663-9018-47a1-943d-8ed4d3f87d0f,4bf26663-9018-47a1-943d-8ed4d3f87d0f,4bf26663-9018-47a1-943d-8ed4d3f87d0f,Fenster-Beschlag für Doppelflügelfenster,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,8232d26e-0043-56ee-b6ef-281b5a7054a2,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fenster-Beschlag für Drehkippfenster (Aluminium),b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,8dc96f29-ec8d-43ba-ba08-a2362003078a,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,b1efabb9-6371-4b96-9ee2-d1f11f9f3b25,Fenster-Beschlag für Drehkippfenster (Aluminium),nicht eingestuft,n.e.,n.e.,n.e.,,7.4,c7b5b5f6-eee0-5659-9d4b-f513f0c40cff,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fenster-Beschlag für horizontales Schiebefenster,00c28f1f-1d49-4c81-9208-138922a1dd6c,640ca097-4329-47d0-a762-7ed858239c3a,00c28f1f-1d49-4c81-9208-138922a1dd6c,00c28f1f-1d49-4c81-9208-138922a1dd6c,00c28f1f-1d49-4c81-9208-138922a1dd6c,00c28f1f-1d49-4c81-9208-138922a1dd6c,00c28f1f-1d49-4c81-9208-138922a1dd6c,00c28f1f-1d49-4c81-9208-138922a1dd6c,Fenster-Beschlag für horizontales Schiebefenster,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,4f1d147e-88e9-5564-a744-d4756cd9061b,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fenster-Beschlag für vertikales Schiebefenster,72c69944-5250-4269-ad34-2e20e5e38231,67331443-825b-4e74-87bb-27d5a55dd159,72c69944-5250-4269-ad34-2e20e5e38231,72c69944-5250-4269-ad34-2e20e5e38231,72c69944-5250-4269-ad34-2e20e5e38231,72c69944-5250-4269-ad34-2e20e5e38231,72c69944-5250-4269-ad34-2e20e5e38231,72c69944-5250-4269-ad34-2e20e5e38231,Fenster-Beschlag für vertikales Schiebefenster,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,9c36b79e-1843-5e90-90cc-e43270a4915f,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fensterglas einfach,1490b480-2c36-43f2-ba8b-4ea49948f7c3,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,1490b480-2c36-43f2-ba8b-4ea49948f7c3,1490b480-2c36-43f2-ba8b-4ea49948f7c3,1490b480-2c36-43f2-ba8b-4ea49948f7c3,1490b480-2c36-43f2-ba8b-4ea49948f7c3,1490b480-2c36-43f2-ba8b-4ea49948f7c3,1490b480-2c36-43f2-ba8b-4ea49948f7c3,Fensterglas einfach,Klarglas (Bestand),RC-,RC+,0.5,,7.2,539aebd3-4f94-56e3-9430-9fc64efba0fa,5cc7aa59-59bf-53fe-a8a9-065edd44ee88
Fenstergriff,38ddefe2-e01c-4ece-9952-a353b7dfb246,96fd0760-5c7a-4ab6-a29a-050b68fc9c69,38ddefe2-e01c-4ece-9952-a353b7dfb246,38ddefe2-e01c-4ece-9952-a353b7dfb246,38ddefe2-e01c-4ece-9952-a353b7dfb246,38ddefe2-e01c-4ece-9952-a353b7dfb246,38ddefe2-e01c-4ece-9952-a353b7dfb246,38ddefe2-e01c-4ece-9952-a353b7dfb246,Fenstergriff,nicht eingestuft,n.e.,n.e.,n.e.,,7.4,dff59bcd-9ddc-5cb7-9014-fefa513d8bb8,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Feuerverzinktes Stahlblech,50c9e674-afd9-456c-9440-6506bec6d55b,9812f03c-2a15-40bf-9c10-05f6924a420f,50c9e674-afd9-456c-9440-6506bec6d55b,50c9e674-afd9-456c-9440-6506bec6d55b,50c9e674-afd9-456c-9440-6506bec6d55b,50c9e674-afd9-456c-9440-6506bec6d55b,50c9e674-afd9-456c-9440-6506bec6d55b,50c9e674-afd9-456c-9440-6506bec6d55b,Feuerverzinktes Stahlblech,Stahl - Stahl(blech) verzinkt,CL-,CL-,1,,4.1,080cb71e-d11b-5470-81f0-1477e36bcff3,248980fe-c40c-527d-b285-4dc2c2ed30b1
Flachsvlies,af13e5a8-0961-454a-ad3a-7093a37fc802,1edb805d-08dc-461e-8195-05a9865470d0,af13e5a8-0961-454a-ad3a-7093a37fc802,af13e5a8-0961-454a-ad3a-7093a37fc802,af13e5a8-0961-454a-ad3a-7093a37fc802,af13e5a8-0961-454a-ad3a-7093a37fc802,af13e5a8-0961-454a-ad3a-7093a37fc802,af13e5a8-0961-454a-ad3a-7093a37fc802,Flachsvlies (mit Flammschutzmittel),"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0,,2.12,458179eb-1b73-5e39-9724-f8721da8df82,4e9dc745-0083-5c18-9144-dc31c9173cd1
Fliesenkleber,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,b3581465-212c-4c61-ad7c-229c16975650,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,78b7cd15-d82a-4ffa-ae08-870b6e5d35d4,Fliesenkleber,"organ. Putz (Fliesenkleber Störstoff, Masse Einstuf. ident zu organ. Putz)",Dep-,Dep-,0,,1.4,a91b4d0f-8062-536c-902a-6e8301534d0f,f36a078b-82e5-5ca9-8c68-c8d49f6624f2
"Fliesenkleber, dispersionsbasiert",nicht vorhanden,bc0f8673-222f-4510-8cc5-08f0646a545b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Fliesenkleber, dispersionsbasiert","Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0,,,9461086d-f54b-5332-a4e6-5d78d2366d2e,7cba3a8d-e199-5ea9-a791-cc48bc37204c
"Flüssiggastank 2700 l/1,2 t (oberirdisch)",nicht vorhanden,2dce11cf-7975-4215-8d0c-2d7760595853,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 2700 l/1,2 t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,70a374aa-1231-5ce0-83c3-ce2864a2ac4b,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Flüssiggastank 2700 l/1,2 t (unterirdisch)",nicht vorhanden,2424aa0d-0a25-447e-9d2b-a9903a9956fa,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 2700 l/1,2 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,e345b6a5-f8fd-53ba-b1a5-687ef794e5ea,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Flüssiggastank 4850 l/2,1 t (unterirdisch)",nicht vorhanden,eba7908d-7cd5-48f8-a707-91954f68ec80,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 4850 l/2,1 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,8aad38b7-c8c9-5d4f-b6d5-0434ad7ee5b7,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Flüssiggastank 4850 l/2,1t (oberirdisch)",nicht vorhanden,58b82b81-40bd-4c25-b8f2-c14dab8619da,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 4850 l/2,1t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,ba7478eb-6a02-5fdc-bab0-a1a8a972f4d0,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Flüssiggastank 6400 l/2,9 t (oberirdisch)",nicht vorhanden,90131f95-e18b-4d64-99dd-efbdecba1d6e,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 6400 l/2,9 t (oberirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,23cc40e4-7f80-5d3e-98a8-6f891d07c697,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Flüssiggastank 6400 l/2,9 t (unterirdisch)",nicht vorhanden,c28a0d9c-8582-4a4e-b848-9f194a52317c,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Flüssiggastank 6400 l/2,9 t (unterirdisch)",nicht eingestuft,n.e.,n.e.,n.e.,,8.1,fcc01f93-33d5-5ded-966d-a9c5cdac5d57,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
,,,,,,,,,Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],PVC hart,SV,SV,0,,7.1,d2d423f3-c003-5056-99e6-350b7f1314e0,ea5dbded-5c1b-5d58-acb1-01de359273cc
Flügelrahmen PVC-U,nicht vorhanden,4ca023d1-2eda-43ab-9c55-481a6d250d9b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Kunststofftrahmen PVC [kg/m² Rahmen],PVC hart,SV,SV,0,,7.1,863712d9-c4d7-5d08-a434-9f7ef1648e3d,ea5dbded-5c1b-5d58-acb1-01de359273cc
Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,nicht vorhanden,8d95efa8-e37d-4958-84a1-b9a920818e92,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep+,Dep+,0,,,483ba4a6-b9d7-5ad5-90a0-7d47f573d977,b874be88-9088-5f9c-aec5-dd2971df09b3
Folie aus Polytetrafluorethylen (PTFE),f281ecaf-5754-4d27-8d70-cfd18780b192,2014a394-f4e5-47dd-9e8a-ee2628bd73f3,f281ecaf-5754-4d27-8d70-cfd18780b192,f281ecaf-5754-4d27-8d70-cfd18780b192,f281ecaf-5754-4d27-8d70-cfd18780b192,f281ecaf-5754-4d27-8d70-cfd18780b192,f281ecaf-5754-4d27-8d70-cfd18780b192,f281ecaf-5754-4d27-8d70-cfd18780b192,Folie aus Polytetrafluorethylen PTFE,KSTBahn (Halog),EB,EB,0,,6.6,9cbce931-cbe0-5012-ad62-bf81c633717e,9a4722e8-5fd2-5639-8a42-0b25295d0460
Folie für Gründach,8a37ac61-585c-43a8-9773-10fce30096e4,4c569188-c899-44da-8843-523c2c741efe,8a37ac61-585c-43a8-9773-10fce30096e4,8a37ac61-585c-43a8-9773-10fce30096e4,8a37ac61-585c-43a8-9773-10fce30096e4,8a37ac61-585c-43a8-9773-10fce30096e4,8a37ac61-585c-43a8-9773-10fce30096e4,8a37ac61-585c-43a8-9773-10fce30096e4,Folie für Gründach,KSTBahn (Halog),EB,EB,0,,6.6,32ab51c5-c105-599f-8842-617769804521,9a4722e8-5fd2-5639-8a42-0b25295d0460
Fugendichtungsbänder Butyl,b060ccb6-2e27-456e-87c4-0b5d4453d917,0362ebd3-9df6-473d-8a66-dccec38bf361,b060ccb6-2e27-456e-87c4-0b5d4453d917,b060ccb6-2e27-456e-87c4-0b5d4453d917,b060ccb6-2e27-456e-87c4-0b5d4453d917,b060ccb6-2e27-456e-87c4-0b5d4453d917,b060ccb6-2e27-456e-87c4-0b5d4453d917,b060ccb6-2e27-456e-87c4-0b5d4453d917,Fugendichtungsbänder Butyl,nicht eingestuft,n.e.,n.e.,n.e.,,7.3,066a21d4-6afc-5f7b-ae51-be4aa2e6abd0,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fugendichtungsbänder Gewebebänder,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1c56ee59-c832-42fb-bf86-ad86adcd1666,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,1b50fee4-e5e3-41a0-9741-ab81fb4297d6,Fugendichtungsbänder Gewebebänder,nicht eingestuft,n.e.,n.e.,n.e.,,7.3,341908c7-c5cb-57e9-b389-19a3a57b1066,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fugendichtungsbänder PE/PP-Folie,aadadf2a-2896-4681-bc4c-61ea4616f801,a122b12f-ae8c-4806-b78c-ba5389bbd52f,aadadf2a-2896-4681-bc4c-61ea4616f801,aadadf2a-2896-4681-bc4c-61ea4616f801,aadadf2a-2896-4681-bc4c-61ea4616f801,aadadf2a-2896-4681-bc4c-61ea4616f801,aadadf2a-2896-4681-bc4c-61ea4616f801,aadadf2a-2896-4681-bc4c-61ea4616f801,Fugendichtungsbänder PE/PP-Folie,nicht eingestuft,n.e.,n.e.,n.e.,,7.3,83931401-c2bf-5a53-9de1-33549c9516c8,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fugendichtungsbänder Polyisobutylen,98e0caab-5f0b-452f-a3d2-4e0256a799f3,f5c5632d-8a1e-47a7-b084-fd9fec790e68,98e0caab-5f0b-452f-a3d2-4e0256a799f3,98e0caab-5f0b-452f-a3d2-4e0256a799f3,98e0caab-5f0b-452f-a3d2-4e0256a799f3,98e0caab-5f0b-452f-a3d2-4e0256a799f3,98e0caab-5f0b-452f-a3d2-4e0256a799f3,98e0caab-5f0b-452f-a3d2-4e0256a799f3,Fugendichtungsbänder Polyisobutylen,nicht eingestuft,n.e.,n.e.,n.e.,,7.3,176c891e-dacb-5739-a058-288fb0be5cf0,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fünf-Schichtholzplatte (generisch),74a7b85a-c028-4cf1-987e-7dfddcb9033b,832aabab-e539-4356-b06a-2d2b70b7b109,74a7b85a-c028-4cf1-987e-7dfddcb9033b,74a7b85a-c028-4cf1-987e-7dfddcb9033b,74a7b85a-c028-4cf1-987e-7dfddcb9033b,74a7b85a-c028-4cf1-987e-7dfddcb9033b,74a7b85a-c028-4cf1-987e-7dfddcb9033b,74a7b85a-c028-4cf1-987e-7dfddcb9033b,Fünf-Schichtholzplatte,Holzwerkstoff - nicht beschichtet,RC+,RC+,1,,3.2,1cb0174e-4a82-58db-af0a-64a5cbc9a31e,58073859-ef5c-5b3b-9210-ac5abb6a6175
Furnierschichtholz (generisch),b50f7b36-d9aa-40c5-b839-4925a1500952,6931f21e-27bd-4eb4-b80a-f1eab2817ee0,b50f7b36-d9aa-40c5-b839-4925a1500952,b50f7b36-d9aa-40c5-b839-4925a1500952,b50f7b36-d9aa-40c5-b839-4925a1500952,b50f7b36-d9aa-40c5-b839-4925a1500952,b50f7b36-d9aa-40c5-b839-4925a1500952,b50f7b36-d9aa-40c5-b839-4925a1500952,Furnierschichtholz (Laminated Veneer Lumber),Holzwerkstoff - nicht beschichtet,RC+,RC+,1,,3.2,d5755df6-dd0c-5cef-a5d7-60ef531171bb,58073859-ef5c-5b3b-9210-ac5abb6a6175
Fußbodenheizung Kupfer (100 mm Abstand),nicht vorhanden,f55e9321-9133-4259-8abe-fe9cd8ae9171,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung Kupfer (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,67f83ea3-8bc6-5cc7-b1de-d9a37a80076d,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fußbodenheizung Kupfer (200 mm Abstand),nicht vorhanden,1a068fac-fca7-4891-8891-4511e1711b4c,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung Kupfer (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,9be2c342-16fe-5040-94e3-0b67b6cc7479,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fußbodenheizung PEX (100 mm Abstand),nicht vorhanden,87860f4c-ffd2-4fd9-a381-04b3975c28ae,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung PEX (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,bd642f2a-d084-5d04-9faa-2684b2d912d9,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fußbodenheizung PEX (200 mm Abstand),nicht vorhanden,03c47c52-3265-49d9-8804-6c447031ce73,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung PEX (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,90f4a637-0c2b-5e3a-bbf2-6e806dc4e2a5,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fußbodenheizung PP (100 mm Abstand),nicht vorhanden,979226f9-7902-47c6-8cee-5a94ba63185a,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung PP (100 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,de543461-4fb1-5c16-82e6-c1d6490ad4bf,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Fußbodenheizung PP (200 mm Abstand),nicht vorhanden,6e50c70d-3339-4118-b5be-4f27d5bca333,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Fußbodenheizung PP (200 mm Abstand),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,806af44d-345d-53f1-8f36-f02bc8b722e8,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas Blockheizkraftwerk (500 kW),nicht vorhanden,5b90a086-26c7-41dc-82fa-3b04fe7e36c2,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas Blockheizkraftwerk (500 kW),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,aeb6157f-6f2f-503b-9ce7-ec673ad682c6,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Brennwertgerät < 20 kW (Standgerät),nicht vorhanden,230a51a2-2892-414f-9357-49e1df9fb9d0,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Brennwertgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,9ad263d3-3f2f-57bc-b855-3060e58a9e23,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Brennwertgerät < 20 kW (Wandgerät),nicht vorhanden,cc25ba78-0036-49ab-8e55-10bdde0317bd,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Brennwertgerät < 20 kW (Wandgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,37d6e7ed-831d-5b05-b98e-dc1dd0f0b2f2,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Brennwertgerät 120-400 kW (Standgerät),nicht vorhanden,2099e104-ce43-4c05-a923-a7a8b044dd6f,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Brennwertgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,a3d6bb40-079e-5330-ab6c-1d107a565687,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Brennwertgerät 20-120 kW (Standgerät),nicht vorhanden,0b82bbb7-4048-4da5-830c-e040e9f3a929,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Brennwertgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,32989c48-bb1f-5f9e-ac2e-eecf1b432e68,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Niedertemperaturgerät < 20 kW (Standgerät),nicht vorhanden,70652929-4cec-4671-a726-1bde18f5c3a5,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Niedertemperaturgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,f60a8bde-6bc9-57f1-9396-4f7779bd537c,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Niedertemperaturgerät 120-400 kW (Standgerät),nicht vorhanden,f9043619-1d1a-4af1-a42d-8bff43c7cd9c,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Niedertemperaturgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,332ee82a-8348-59df-bcb3-aaad0e3b69eb,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gas-Niedertemperaturgerät 20-120 kW (Standgerät),nicht vorhanden,d75af170-2269-426a-b72a-1d78f5c4091d,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gas-Niedertemperaturgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.,,8.1,4e6a1666-e5a7-597e-a9d2-d0f6a24ef9a5,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Gaswärmepumpe (Luft) 20-70 kW,nicht vorhanden,ae06899a-fd3f-4ea6-9922-139dfd0e6ba9,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Gaswärmepumpe (Luft) 20-70 kW,nicht eingestuft,n.e.,n.e.,n.e.,,8.1,96db405f-39ed-5bdb-b484-d26bf1f179c9,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Gehäuse Downlight 18W (CFL, G24D))",nicht vorhanden,1c79a9bf-cd85-41f3-a261-1577cd08a187,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Gehäuse Downlight 18W (CFL, G24D))",nicht eingestuft,n.e.,n.e.,n.e.,,8.4,a3cc1c36-ee20-5fa9-b2a7-a78a25cbade3,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
"Getuftete Teppichfliesen (PA 6), LC3",nicht vorhanden,cc0a42be-7e68-4564-a09d-3c478f82af5b,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,"Getuftete Teppichfliesen (PA 6), LC3",Bodenbelag textil 100 % synthetisch,EV-,EV-,0,,,63bbeed5-d7f6-5d00-90c8-85a117140191,fe24b5ed-353e-5355-ac7b-a083a4e18f87
Gips (CaSO4-Alpha-Halbhydrat),5ce375b1-eb6d-4fc7-84bb-11ae702d3056,93f371be-ae3e-4baf-b607-5e2563a9288f,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,5ce375b1-eb6d-4fc7-84bb-11ae702d3056,Gips (CaSO4-Alpha-Halbhydrat) Grundstoff,keine Einstufung,nicht eingestuft,n.e.,n.e.,n.e.,1.1,642c8775-e67a-58a1-b346-92f3e28ebf04,0c2c3857-bf68-50bc-a08b-cb0d959eeaf1
