oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____cd2bda71-760b-4fcc-8a0b-3877c10000a8____2021-II,oekobaudatUuid____8201b671-10cd-4dc5-9750-0b856d998be4____2020-I,oekobaudatUuid____0454ab26-f45c-4e24-8260-9e2049738b75____2019-III,oekobaudatUuid____815d8970-02dc-4abc-b02e-78d41b4e4bb5____2019-II,oekobaudatUuid____30b63be3-b76b-4bd4-a876-330790c228a9____2019-I,oekobaudatUuid____cc02f499-6b0f-4556-bb4a-7abe48e55f71____2017,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor,Unnamed: 8,processCategoryNumber,productUuid,eolCategoryUuid
"Aluminiumfolie (d=0,1 mm)",785d5ac4-c69d-4e00-941e-26433c1d023d,0fdc2fd3-fe48-499f-9158-74a6cc7185dc,785d5ac4-c69d-4e00-941e-26433c1d023d,785d5ac4-c69d-4e00-941e-26433c1d023d,785d5ac4-c69d-4e00-941e-26433c1d023d,785d5ac4-c69d-4e00-941e-26433c1d023d,785d5ac4-c69d-4e00-941e-26433c1d023d,785d5ac4-c69d-4e00-941e-26433c1d023d,"Aluminiumfolie (d=0,1 mm)",Alu-Folie,EB/Dep-,EB/Dep-,0,,4.3,357c52bf-1b38-5874-bc4c-7e75287266ea,eaec90d9-b3f9-5ad9-81f3-33f9ac3e202f
"Aluminium-Flügelrahmenprofil, pulverbeschichtet",66990642-726e-4483-abc3-d5d0b4d7a5e7,9c97e6bb-8e4a-4e6e-ad2f-773eeab50739,66990642-726e-4483-abc3-d5d0b4d7a5e7,66990642-726e-4483-abc3-d5d0b4d7a5e7,66990642-726e-4483-abc3-d5d0b4d7a5e7,66990642-726e-4483-abc3-d5d0b4d7a5e7,66990642-726e-4483-abc3-d5d0b4d7a5e7,66990642-726e-4483-abc3-d5d0b4d7a5e7,"Aluminium-Flügelrahmenprofil, pulverbeschichtet","Alurahmen, gedämmt ",CL+/RC-,CL+/RC-,1,,7.1,e4d9af20-1b90-5efc-8dd7-98aeefa0a6b1,b3df3abe-e57b-59ad-8466-6b92403c30a1
"Aluminium-Flügelrahmenprofil, thermisch getrennt, pulverbeschichtet",c1cacd2c-d98d-4795-84db-b567d25bb1ed,9c4e69a2-9c53-4c54-9c2f-027091116aa1,c1cacd2c-d98d-4795-84db-b567d25bb1ed,c1cacd2c-d98d-4795-84db-b567d25bb1ed,c1cacd2c-d98d-4795-84db-b567d25bb1ed,c1cacd2c-d98d-4795-84db-b567d25bb1ed,c1cacd2c-d98d-4795-84db-b567d25bb1ed,c1cacd2c-d98d-4795-84db-b567d25bb1ed,"Aluminium-Flügelrahmenprofil, thermisch getrennt, pulverbeschichtet","Alurahmen, gedämmt ",CL+/RC-,CL+/RC-,1,,7.1,2e037b13-4c5e-5096-b1b8-ab8630e53211,b3df3abe-e57b-59ad-8466-6b92403c30a1
"Aluminium-Rahmenprofil, pulverbeschichtet",8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,aef3b8cd-c3b4-4e55-b2d1-0a3a131e7695,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,8b3ee4e2-c086-41dc-bd07-e9e853f9da8b,"Aluminium-Rahmenprofil, pulverbeschichtet","Alurahmen, gedämmt ",CL+/RC-,CL+/RC-,1,,7.1,166f9504-2f3d-5b34-9307-43dbb5c636b9,b3df3abe-e57b-59ad-8466-6b92403c30a1
"Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet",dfa64bbb-dc8d-497b-9557-300416b8448f,33403851-59e9-463e-b238-b17afefc9a08,dfa64bbb-dc8d-497b-9557-300416b8448f,dfa64bbb-dc8d-497b-9557-300416b8448f,dfa64bbb-dc8d-497b-9557-300416b8448f,dfa64bbb-dc8d-497b-9557-300416b8448f,dfa64bbb-dc8d-497b-9557-300416b8448f,dfa64bbb-dc8d-497b-9557-300416b8448f,"Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet","Alurahmen, gedämmt ",CL+/RC-,CL+/RC-,1,,7.1,22e813cf-704f-50f2-b489-7192828239c6,b3df3abe-e57b-59ad-8466-6b92403c30a1
Ammoniak (R717),nicht vorhanden,2b3bf368-34e6-4e7c-917e-6f455d4c4bb8,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,nicht vorhanden,Ammoniak (R717),nicht eingestuft,n.e.,n.e.,n.e.,,8.2,02cc581c-835a-5225-a633-aa8c89157333,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Anhydrit (CaSO4),839771be-ab23-4873-8b14-b2aa0f6ce9d9,40355b42-e78f-4a8d-b351-786eca37d791,839771be-ab23-4873-8b14-b2aa0f6ce9d9,839771be-ab23-4873-8b14-b2aa0f6ce9d9,839771be-ab23-4873-8b14-b2aa0f6ce9d9,839771be-ab23-4873-8b14-b2aa0f6ce9d9,839771be-ab23-4873-8b14-b2aa0f6ce9d9,839771be-ab23-4873-8b14-b2aa0f6ce9d9,Anhydrit Mix,nicht eingestuft,n.e.,n.e.,n.e.,,1.1,1ca19765-1666-5810-af43-910f7f806091,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Armierung (Kunstharzspachtel),55a89d7b-b585-404f-be34-bb7285730a89,5c847387-b2b3-4ad5-8a11-e55488f957f6,55a89d7b-b585-404f-be34-bb7285730a89,55a89d7b-b585-404f-be34-bb7285730a89,55a89d7b-b585-404f-be34-bb7285730a89,55a89d7b-b585-404f-be34-bb7285730a89,55a89d7b-b585-404f-be34-bb7285730a89,55a89d7b-b585-404f-be34-bb7285730a89,Armierung (für Kunstharzspachtel),"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0,,1.4,5b6a856c-6e11-5a19-b984-d93ba43d9cd4,839144f3-5e58-564e-befc-9eff0e5ec1aa
Asphaltbinder,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,3d1b480d-243f-4ff2-aa16-428e1a93f5d8,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,6b6b68f8-34a4-4a0f-97ee-714bf106c3e0,Asphaltbinder,nicht eingestuft,n.e.,n.e.,n.e.,,1.5,a816d58c-1f69-5c46-bff9-38927a9336fa,ef961829-1f5b-52ad-a6f7-8c77cea76d5c
Asphalttragschicht,85de02e5-2782-4050-9c01-c5de3849fbce,f34786e7-0953-4085-9f3d-955481cdd4ea,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,85de02e5-2782-4050-9c01-c5de3849fbce,Asphalttragschicht - Hochbau,Asphalt (Hochbau),Dep+,CL+,0.75,,1.5,30da7ee7-4fcb-5a41-95e8-d4ba922043af,6b413e09-fd33-5f1f-8706-8a2293b95d1d
