"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Ignore", "YAML", "XML", "CSS", "TypeScript JSX", "Prisma", "MS SQL", "CSV", "Shell Script", "comment", "blank", "total"
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/auth/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 9, 102
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 2, 18
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/(index)/(components)/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 5, 46
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/(index)/(components)/ProjectsLinkList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/(index)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/(index)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(components)/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 10, 13, 122
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/BuildingOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 22, 19, 149
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexBarChartBreakdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 7, 95
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexBreakdownByDin/CircularityIndexBreakdownByDin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 25, 48, 356
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexBreakdownByMaterialType/CircularityIndexBreakdownByMaterialType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 94, 49, 350
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexBreakdownByMaterialType/logic.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 110
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexTotalBarChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 4, 76
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/(components)/CircularityIndexTotalNumber.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/(index)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 7, 24
"/Volumes/nextcoder/code/elca/new-app/passport/app/[locale]/(circularity)/projects/[projectId]/catalog/(components)/ProjectCatalog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
